iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
63,500,0.1,100.0,1000.0,2.35,mle,2.2436961319628272,0.05561978188844861,True,2026-02-03T10:10:45.791120,0.04696846008300781,
63,500,0.1,100.0,1000.0,2.35,ls,2.062104266016444,0.09516645839196908,True,2026-02-03T10:10:45.791136,0.39577484130859375,0.9750788792808677
64,500,0.1,100.0,1000.0,2.35,mle,2.46878306867045,0.06568597571495735,True,2026-02-03T10:10:45.791894,0.04863739013671875,
64,500,0.1,100.0,1000.0,2.35,ls,2.4138255246417253,0.06992560722726399,True,2026-02-03T10:10:45.791905,0.6449222564697266,0.9925038982520613
65,500,0.1,100.0,1000.0,2.35,mle,2.3906977861393686,0.06219389571932186,True,2026-02-03T10:10:45.792447,0.05650520324707031,
65,500,0.1,100.0,1000.0,2.35,ls,2.272260944457902,0.13203145679266592,True,2026-02-03T10:10:45.792456,0.4203319549560547,0.9705095931198559
66,500,0.1,100.0,1000.0,2.35,mle,2.4086115790066667,0.06299502489104444,True,2026-02-03T10:10:45.793072,0.10085105895996094,
66,500,0.1,100.0,1000.0,2.35,ls,2.255610591039962,0.12094654700306309,True,2026-02-03T10:10:45.793080,0.4305839538574219,0.9693430542465318
67,500,0.1,100.0,1000.0,2.35,mle,2.455921373142254,0.06511078320481833,True,2026-02-03T10:10:45.793611,0.055789947509765625,
67,500,0.1,100.0,1000.0,2.35,ls,2.3671835106475645,0.1290881190991146,True,2026-02-03T10:10:45.793619,0.3972053527832031,0.9683245834566361
68,500,0.1,100.0,1000.0,2.35,mle,2.3747797221963216,0.06148201825838503,True,2026-02-03T10:10:45.794099,0.04982948303222656,
68,500,0.1,100.0,1000.0,2.35,ls,2.1120204940203924,0.08883390314262885,True,2026-02-03T10:10:45.794116,0.3695487976074219,0.9826161828638049
69,500,0.1,100.0,1000.0,2.35,mle,2.2690110384940225,0.056751898925404734,True,2026-02-03T10:10:45.794594,0.049114227294921875,
69,500,0.1,100.0,1000.0,2.35,ls,2.3162953411726166,0.041953836966587034,True,2026-02-03T10:10:45.794602,0.3662109375,0.996730110451015
70,500,0.1,100.0,1000.0,2.35,mle,2.269191678598818,0.05675997739648045,True,2026-02-03T10:10:45.795193,0.05793571472167969,
70,500,0.1,100.0,1000.0,2.35,ls,2.1695212891477156,0.08846687518596041,True,2026-02-03T10:10:45.795201,0.44536590576171875,0.982038006950146
71,500,0.1,100.0,1000.0,2.35,mle,2.3561794299632384,0.06065018790169432,True,2026-02-03T10:10:45.795718,0.048160552978515625,
71,500,0.1,100.0,1000.0,2.35,ls,1.9813570161580591,0.1025504087875263,True,2026-02-03T10:10:45.795726,0.4088878631591797,0.9739103473185142
72,500,0.1,100.0,1000.0,2.35,mle,2.3202667338425123,0.05904412330606959,True,2026-02-03T10:10:45.796199,0.04935264587402344,
72,500,0.1,100.0,1000.0,2.35,ls,2.0141992820814374,0.10842153765398278,True,2026-02-03T10:10:45.796208,0.3650188446044922,0.9718407328186186
73,500,0.1,100.0,1000.0,2.35,mle,2.488942618693204,0.06658753819989106,True,2026-02-03T10:10:45.796671,0.04696846008300781,
73,500,0.1,100.0,1000.0,2.35,ls,2.236148832024811,0.09703439578271969,True,2026-02-03T10:10:45.796689,0.3571510314941406,0.9833354267803978
74,500,0.1,100.0,1000.0,2.35,mle,2.2797915552634027,0.05723401829198294,True,2026-02-03T10:10:45.797165,0.049114227294921875,
74,500,0.1,100.0,1000.0,2.35,ls,1.9238485852287426,0.0814633518035434,True,2026-02-03T10:10:45.797175,0.36525726318359375,0.9806583644461587
75,500,0.1,100.0,1000.0,2.35,mle,2.3888461688346805,0.062111088876089904,True,2026-02-03T10:10:45.797645,0.048160552978515625,
75,500,0.1,100.0,1000.0,2.35,ls,2.1014478249128223,0.10421045449224582,True,2026-02-03T10:10:45.797653,0.3628730773925781,0.9759987091517487
76,500,0.1,100.0,1000.0,2.35,mle,2.3475771820302036,0.06026548367894286,True,2026-02-03T10:10:45.798114,0.04696846008300781,
76,500,0.1,100.0,1000.0,2.35,ls,2.3403015336807678,0.08618300091074212,True,2026-02-03T10:10:45.798122,0.3566741943359375,0.9892674408012262
